tx_status,tx_codptcoleta,tx_localizacao,dt_atualizacao,globalid,objectid,nomePraia,tipo
Imprópria,AD000,Centro da praia,2014/12/29 03:00:00+00,{73F4781C-86D9-45FE-A907-AD6D8B8666D4},91,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2015/01/05 03:00:00+00,{74163C7C-863E-46B0-B077-F671C0D55456},92,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2015/01/08 03:00:00+00,{91A9C5FD-C45E-4129-906F-73466F981B5A},93,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2015/01/12 03:00:00+00,{0436566D-7D56-4776-8954-8071E8528135},94,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2015/01/15 03:00:00+00,{74E312BC-80EE-4A12-B472-F4C5872B4383},95,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/01/22 03:00:00+00,{6EA563E9-0587-4E64-BCE3-C39C9D112F6F},96,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/01/26 03:00:00+00,{807FB5FA-8CB6-4283-BF71-9BC7492390D0},97,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/01/29 03:00:00+00,{63AAB1D9-E5CC-4EE7-A324-5511109FF00D},98,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/02/02 03:00:00+00,{CA575BFD-DD95-4B45-9281-296A46E88DEB},99,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/02/05 03:00:00+00,{AE2FB63E-320C-4FBD-A4AE-FC358E6413D3},100,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/02/09 03:00:00+00,{3FF3D936-BEEC-4B0D-A5EA-473BFC41711B},101,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/02/11 03:00:00+00,{C9CB900A-113F-467B-8C21-4A3FB667DE5F},102,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/02/19 03:00:00+00,{3B16F789-CA52-47AC-808F-B8400628621B},103,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/02/23 03:00:00+00,{1BE8B9F0-8AC7-4091-89AB-FCD9466077DD},104,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/02/26 03:00:00+00,{1386BBCB-339D-4E17-8ECE-A85727309FE6},105,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/03/02 03:00:00+00,{6E6787B5-DB5C-4262-B05A-D763147EF5FE},106,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/03/05 03:00:00+00,{1CBAACFB-BBD8-45A3-BA4E-8E70D4DB1FE1},107,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/03/09 03:00:00+00,{2360DD69-CD1F-4CDD-998B-433FAE7F2580},108,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/03/12 03:00:00+00,{9CD09AAD-1093-4D21-AC3C-391F8E7E12F1},109,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/03/16 03:00:00+00,{8A749D2E-9449-4A24-9416-52CA1A726EEA},110,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/03/19 03:00:00+00,{3B535B39-CA17-4C2C-947B-71079F1BDAFA},111,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2015/03/23 03:00:00+00,{FF2C56E5-AD04-4FB4-ADA1-A95E3DD07AF5},112,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/03/31 03:00:00+00,{62520A17-CCF6-4852-8949-BB9DCFC2EC49},113,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/04/06 03:00:00+00,{33E8B266-4BD9-49A7-8FB1-B8F2694CF417},114,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/04/09 03:00:00+00,{0E5040FF-5889-4F80-88CC-B1CC6EF51E65},115,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/04/13 03:00:00+00,{2AE9209E-BB4E-4C66-AEE0-D9DB8EDCFEB4},116,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/04/16 03:00:00+00,{9F7ACD3E-6CB8-4B32-B81B-82E1458BDCC8},117,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/04/22 03:00:00+00,{75D83536-5E12-407C-94C8-CB188E99D584},118,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/04/27 03:00:00+00,{18B16DBD-EBC1-41F1-9129-0565F38BDC09},119,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/04/29 03:00:00+00,{19785329-965D-48E2-B822-04BC3AC71F98},120,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/05/04 03:00:00+00,{4EEEF74E-0142-429D-8D35-F23D2C9CABDB},121,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/05/07 03:00:00+00,{AFCE08DB-4BE4-4360-B191-65FE71B2678A},122,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/05/11 03:00:00+00,{996A8DA5-513B-45FA-B518-B2AD5461B195},123,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/05/14 03:00:00+00,{3C72AA21-60F5-4169-BCA5-D04BE9BD435A},124,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/05/18 03:00:00+00,{6F1D4695-6863-4B06-870E-4DBA0E62217E},125,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/05/21 03:00:00+00,{3161B4C3-C02F-410D-9585-0E02143FB06C},126,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/05/25 03:00:00+00,{7810D9FF-F766-4E9B-A070-F45227F654A1},127,Praia da Fortaleza,Baía de Guanabara
